S.No,Disease,Symptoms,Treatment,Medicine,Treatment Duration,Medicine Duration
1,Hypertension,"Headache, dizziness, blurred vision","Antihypertensives, lifestyle","Lisinopril, Amlodipine",Lifelong,Lifelong
2,Type 2 Diabetes,"Increased thirst, frequent urination","Lifestyle changes, insulin","Metformin, Insulin",Lifelong,Lifelong
3,Asthma,"Shortness of breath, wheezing, cough","Inhalers, corticosteroids","Albuterol, Fluticasone",Lifelong (chronic),Lifelong/as-needed
4,Alzheimer’s Disease,"Memory loss, confusion",Slow-progression medications,"Donepezil, Memantine",Lifelong,Lifelong
5,Malaria,"Fever, chills, sweating",Antimalarial drugs,"Chloroquine, Artemisinin",3–7 days,3–7 days
6,Chronic Kidney Disease,"Fatigue, swelling, decreased urine","Dialysis, meds","Erythropoietin, binders",Lifelong,Lifelong
7,COPD,"Chronic cough, breathlessness","Bronchodilators, steroids","Tiotropium, Prednisone",Lifelong,Lifelong
8,Depression,"Sadness, low interest","Antidepressants, therapy","SSRIs, SNRIs",6–12 months or longer,6–12 months
9,Osteoarthritis,"Joint pain, stiffness","Pain relief, therapy","Acetaminophen, NSAIDs",Chronic,Chronic/intermittent
10,Rheumatoid Arthritis,"Joint pain, swelling",Immunosuppressants,"Methotrexate, Sulfasalazine",Lifelong,Lifelong
11,Stroke,"Weakness, speech difficulty","Clot removal, rehab","Alteplase, Aspirin",3–6 months (rehab),1–3 months to lifelong
12,Lung Cancer,"Cough, chest pain, weight loss","Chemo, radiation","Cisplatin, Paclitaxel",4–6 cycles (3–6 months),Per cycle
13,Breast Cancer,"Lump, nipple discharge","Surgery, chemotherapy","Tamoxifen, Herceptin",6 months to years,5+ years (Tamoxifen)
14,Prostate Cancer,Difficulty urinating,"Hormone therapy, surgery","Finasteride, Leuprolide",Varies (months–years),Long-term
15,Tuberculosis,"Cough, fever, night sweats",Antibiotics (RIPE),"Isoniazid, Rifampin",6 months,6 months
16,HIV/AIDS,"Weight loss, fever, lymph nodes",Antiretroviral therapy,"Zidovudine, Efavirenz",Lifelong,Lifelong
17,Hepatitis B,"Jaundice, fatigue",Antivirals,"Tenofovir, Entecavir",6–12 months to lifelong,6–12 months
18,Hepatitis C,"Fatigue, jaundice",Antivirals,"Sofosbuvir, Ribavirin",8–12 weeks,8–12 weeks
19,Parkinson's,"Tremor, stiffness",Dopamine agonists,"Levodopa, Carbidopa",Lifelong,Lifelong
20,Epilepsy,Seizures,Antiepileptic drugs,"Valproate, Phenytoin",Lifelong,Lifelong
21,Influenza,"Fever, cough, aches",Antivirals,"Oseltamivir, Paracetamol",5–7 days,5–7 days
22,Pneumonia,"Chest pain, cough, fever","Antibiotics, hospital","Amoxicillin, Azithromycin",5–10 days,5–10 days
23,Anemia,"Fatigue, pale skin",Iron supplements,Ferrous sulfate,3–6 months,3–6 months
24,Migraine,"Headache, nausea","Painkillers, lifestyle","Ibuprofen, Sumatriptan",Ongoing (episodic),As needed
25,Appendicitis,Abdominal pain,Surgery,Painkillers,Post-op (1 week recovery),3–5 days
26,Chickenpox,"Rash, fever",Symptomatic,"Calamine, antihistamines",7–10 days,5–7 days
27,Measles,"Fever, rash, cough",Supportive,Vitamin A,7–10 days,2 days
28,Dengue,"High fever, pain",Supportive,Paracetamol,7–10 days,5–7 days
29,Lyme Disease,"Rash, fever",Antibiotics,Doxycycline,10–21 days,10–21 days
30,Sickle Cell Anemia,"Pain, anemia","Pain relief, transfusions",Hydroxyurea,Lifelong,Lifelong
31,Cystic Fibrosis,"Cough, infections","Physiotherapy, meds","Dornase alfa, Ivacaftor",Lifelong,Lifelong
32,Glaucoma,"Eye pain, vision loss","Eye drops, surgery","Timolol, Latanoprost",Lifelong,Lifelong
